Old Line,New Line,Score,Type
25,26,0.8197,Match
31,40,0.9327,Match
35,32,0.8108,Match
83,80,0.6300,Match
91,88,0.6191,Match
110,111,0.6794,Match
114,112,0.5561,Match
115,114,0.5364,Match
116,115,0.8259,Match
117,113,0.6045,Match
118,119,0.7860,Match
119,120,0.7845,Match
120,121,0.7463,Match
121,122,0.6704,Match
122,123,0.7588,Match
123,124,0.8362,Match
124,"125,126",0.5858,Split
125,127,0.8101,Match
126,128,0.7367,Match
127,129,0.6637,Match
128,130,0.7230,Match
129,131,0.8299,Match
130,"132,133",0.5670,Split
131,134,0.7969,Match
132,135,0.7229,Match
133,136,0.6488,Match
134,137,0.7247,Match
135,138,0.8555,Match
136,"139,140",0.5865,Split
138,142,0.7800,Match
139,143,0.6485,Match
140,144,0.7452,Match
141,169,0.8332,Match
142,"146,147",0.5957,Split
144,161,0.5512,Match
148,"153,154",0.5402,Split
152,"158,159",0.5885,Split
153,110,0.7055,Match
154,221,0.4376,Match
155,162,0.7139,Match
156,163,0.8729,Match
157,"164,165",0.6250,Split
166,116,0.8410,Match
167,174,0.5860,Match
168,175,0.8682,Match
169,176,0.5743,Match
173,180,0.8427,Match
174,179,0.8072,Match
175,227,0.4223,Match
179,"187,188",0.5468,Split
183,"192,193",0.5927,Split
203,214,0.7822,Match
