Old Line,New Line,Score,Type
10,30,0.7012,Match
21,18,0.7057,Match
40,36,0.9313,Match
54,61,0.7280,Match
55,62,0.6238,Match
56,59,0.6357,Match
57,60,0.5986,Match
59,64,0.5433,Match
62,112,0.8321,Match
63,53,0.7119,Match
64,119,0.5096,Match
67,71,0.6355,Match
70,75,0.7492,Match
71,74,0.7786,Match
74,81,0.7438,Match
76,83,0.7649,Match
83,93,0.7920,Match
85,95,0.7698,Match
92,150,0.7952,Match
105,135,0.6626,Match
106,136,0.7735,Match
107,139,0.5423,Match
117,102,0.8595,Match
118,103,0.5972,Match
119,106,0.7628,Match
120,107,0.6046,Match
121,105,0.4627,Match
122,115,0.4275,Match
123,109,0.9131,Match
124,110,0.9579,Match
125,111,0.9521,Match
126,121,0.8109,Match
127,113,0.9663,Match
128,114,0.9663,Match
129,"115,116",0.4663,Split
130,"116,117",0.4552,Split
132,118,0.9477,Match
133,99,0.5520,Match
134,120,0.8673,Match
135,54,0.6358,Match
137,151,0.5296,Match
