Old Line,New Line,Score,Type
7,12,0.9086,Match
8,13,0.9438,Match
11,14,0.7792,Match
16,26,0.6670,Match
24,30,0.6360,Match
35,38,0.8207,Match
36,39,0.8365,Match
37,41,0.5117,Match
44,47,0.6751,Match
46,49,0.6946,Match
47,50,0.6522,Match
48,51,0.6204,Match
49,52,0.6633,Match
50,53,0.6442,Match
51,27,0.6000,Match
52,55,0.6789,Match
53,40,0.6000,Match
54,168,0.6000,Match
57,58,0.6383,Match
59,54,0.4341,Match
144,169,0.9043,Match
145,170,0.9123,Match
146,171,0.8780,Match
149,174,0.8446,Match
152,159,0.5787,Match
155,173,0.4362,Match
173,163,0.6241,Match
175,158,0.9125,Match
176,177,0.4128,Match
177,161,0.6914,Match
179,165,0.4381,Match
181,160,0.8529,Match
183,"163,164",0.4238,Split
187,162,0.8529,Match
