Old Line,New Line,Score,Type
11,14,0.9928,Match
18,21,0.9833,Match
19,20,0.6833,Match
21,39,0.7237,Match
23,36,0.6806,Match
26,10,0.5495,Match
36,9,0.4975,Match
55,331,0.4424,Match
59,338,0.7779,Match
61,97,0.7239,Match
62,100,0.4070,Match
63,96,0.4050,Match
64,99,0.7497,Match
65,119,0.4191,Match
68,107,0.4477,Match
69,192,0.8345,Match
70,278,0.4379,Match
71,277,0.9041,Match
72,137,0.4414,Match
73,279,0.8499,Match
74,328,0.8105,Match
75,280,0.8108,Match
76,164,0.7793,Match
79,359,0.7394,Match
83,352,0.7602,Match
84,329,0.8031,Match
85,330,0.7986,Match
87,336,0.4163,Match
88,168,0.7547,Match
92,138,0.7352,Match
93,120,0.7565,Match
94,93,0.7147,Match
96,55,0.7423,Match
101,364,0.7155,Match
102,150,0.7460,Match
103,79,0.7265,Match
105,231,0.7715,Match
107,351,0.6943,Match
108,340,0.7272,Match
109,354,0.6624,Match
111,81,0.7333,Match
112,118,0.4023,Match
113,190,0.4050,Match
114,251,0.7617,Match
117,321,0.6500,Match
119,255,0.7612,Match
120,105,0.4186,Match
121,135,0.9095,Match
122,323,0.8453,Match
123,139,0.7584,Match
124,68,0.7675,Match
125,132,0.7846,Match
138,69,0.4696,Match
139,122,0.7161,Match
162,140,0.8624,Match
200,193,0.8355,Match
205,198,0.7545,Match
206,200,0.5358,Match
207,204,0.4407,Match
212,203,0.8777,Match
229,237,0.7761,Match
232,109,0.6870,Match
240,230,0.5114,Match
241,95,0.7247,Match
242,360,0.4628,Match
249,116,0.7920,Match
250,348,0.7054,Match
252,210,0.7650,Match
253,343,0.7639,Match
255,"231,232",0.5571,Split
257,339,0.6658,Match
258,114,0.7111,Match
260,344,0.4337,Match
261,121,0.4688,Match
262,124,0.7365,Match
277,189,0.6784,Match
313,131,0.7187,Match
314,141,0.7192,Match
317,356,0.4450,Match
318,98,0.5516,Match
319,101,0.8105,Match
320,111,0.4685,Match
321,106,0.8530,Match
322,102,0.8873,Match
323,103,0.9261,Match
324,104,0.9312,Match
326,117,0.6963,Match
327,113,0.6963,Match
