Old Line,New Line,Score,Type
75,76,0.8767,Match
78,79,0.8247,Match
81,111,0.6265,Match
83,145,0.4696,Match
98,1612,0.7151,Match
99,1731,0.4119,Match
100,944,0.7068,Match
102,1679,0.7094,Match
287,340,0.8803,Match
303,356,0.8856,Match
430,485,0.6869,Match
431,484,0.7798,Match
514,568,0.8672,Match
534,588,0.8342,Match
535,589,0.8198,Match
550,604,0.8881,Match
557,611,0.6689,Match
562,616,0.6669,Match
578,632,0.6891,Match
604,658,0.6629,Match
680,734,0.8551,Match
722,1336,0.4820,Match
725,1675,0.4733,Match
739,789,0.6632,Match
780,830,0.8402,Match
797,847,0.8567,Match
823,483,0.4288,Match
840,886,0.6614,Match
887,933,0.8464,Match
897,943,0.7903,Match
898,1615,0.7377,Match
899,945,0.8685,Match
918,964,0.4913,Match
925,977,0.6518,Match
1017,148,0.5634,Match
1042,1098,0.6205,Match
1043,1093,0.7345,Match
1044,1094,0.9015,Match
1045,1095,0.6744,Match
1046,1096,0.6558,Match
1047,1097,0.5308,Match
1048,965,0.4396,Match
1049,1099,0.8484,Match
1050,1199,0.4430,Match
1233,1335,0.5714,Match
1234,1201,0.4829,Match
1235,2083,0.4637,Match
1236,1676,0.4260,Match
1244,163,0.4638,Match
1245,162,0.4456,Match
1246,1142,0.8013,Match
1247,158,0.5554,Match
1248,1145,0.8331,Match
1249,1344,0.8238,Match
1250,1345,0.7829,Match
1528,144,0.5034,Match
1529,1635,0.4020,Match
1530,114,0.5238,Match
1536,1647,0.7451,Match
1537,"1701,1702",0.6197,Split
1538,1648,0.4330,Match
1539,1704,0.7631,Match
1540,1643,0.8580,Match
1541,1697,0.7791,Match
1542,1712,0.4774,Match
1543,1901,0.8990,Match
1544,1902,0.8890,Match
1545,1903,0.8801,Match
1546,1144,0.8550,Match
1552,1654,0.6923,Match
1553,1200,0.5925,Match
1554,1195,0.8539,Match
1555,1196,0.8949,Match
1556,1197,0.6062,Match
1557,1198,0.8880,Match
1558,147,0.4293,Match
1559,1698,0.6219,Match
1560,1207,0.4734,Match
1561,1203,0.8828,Match
1562,1204,0.8408,Match
1563,1205,0.9628,Match
1564,1206,0.9716,Match
1565,1209,0.6448,Match
1566,1208,0.9765,Match
1567,1211,0.5405,Match
1568,1210,0.8926,Match
1570,1212,0.9704,Match
1571,1214,0.9511,Match
1572,1215,0.9670,Match
1573,2095,0.9528,Match
1574,2097,0.9810,Match
1575,1218,0.9487,Match
1576,1217,0.9338,Match
1577,167,0.8902,Match
1596,1674,0.5403,Match
1598,1677,0.4574,Match
1607,1639,0.7260,Match
1610,966,0.7917,Match
1611,1689,0.7183,Match
1612,1690,0.4756,Match
1613,1127,0.9048,Match
1614,1128,0.6160,Match
1615,1129,0.8269,Match
1616,1130,0.9437,Match
1617,1131,0.9253,Match
1618,1132,0.9750,Match
1619,1133,0.9797,Match
1620,1134,0.9947,Match
1621,1135,0.9944,Match
1622,1136,1.0000,Match
1623,1137,1.0000,Match
1624,1138,1.0000,Match
1625,1139,1.0000,Match
1626,1140,1.0000,Match
1627,1141,1.0000,Match
1628,123,0.7847,Match
1629,1143,0.9523,Match
1630,169,0.8939,Match
1631,170,0.8501,Match
1636,1696,0.6605,Match
1637,1810,0.7233,Match
1638,152,0.5963,Match
1641,"1641,1642",0.4486,Split
1643,1710,0.6340,Match
1646,"1707,1708",0.7418,Split
1648,"1710,1711",0.4358,Split
1649,154,0.8006,Match
1650,1852,0.6545,Match
1669,1732,0.8942,Match
1670,1733,0.5228,Match
1671,1734,0.8338,Match
1676,1739,0.4859,Match
1677,1740,0.7287,Match
1678,1741,0.4180,Match
1679,2086,0.4254,Match
1681,2084,0.4608,Match
1682,2087,0.5542,Match
1684,1743,0.5097,Match
1685,2090,0.4920,Match
1705,1764,0.8914,Match
1709,1768,0.8457,Match
1750,1809,0.8084,Match
1755,1815,0.9223,Match
1762,1822,0.8162,Match
1766,1826,0.8959,Match
1773,1833,0.8535,Match
1784,1844,0.9351,Match
1792,1882,0.7520,Match
1800,1860,0.8472,Match
1807,1867,0.8493,Match
1822,1885,0.5073,Match
1825,1888,0.5638,Match
2019,2085,0.5443,Match
2021,1744,0.4317,Match
2023,2091,0.8303,Match
2024,2089,0.4980,Match
2025,121,0.6269,Match
2028,146,0.4068,Match
2031,127,0.4137,Match
2032,2094,0.9442,Match
2033,2093,0.9506,Match
2034,2092,0.9483,Match
2035,1219,0.9462,Match
2036,166,0.9333,Match
2037,1147,0.8874,Match
2038,2096,1.0000,Match
2039,141,0.8619,Match
