Old Line,New Line,Score,Type
55,73,0.8088,Match
56,63,0.8178,Match
57,66,0.7771,Match
62,76,0.8298,Match
63,77,0.9509,Match
88,163,0.9511,Match
89,161,0.9699,Match
90,159,0.9629,Match
91,164,0.9321,Match
95,151,0.9341,Match
96,156,0.7958,Match
97,147,0.7408,Match
98,149,0.6714,Match
99,153,0.7061,Match
104,168,0.8777,Match
189,257,0.8777,Match
203,980,0.9725,Match
204,981,0.9899,Match
207,984,1.0000,Match
208,985,1.0000,Match
209,986,1.0000,Match
210,987,1.0000,Match
211,988,1.0000,Match
212,989,1.0000,Match
213,990,1.0000,Match
214,991,1.0000,Match
215,992,1.0000,Match
216,993,1.0000,Match
217,994,1.0000,Match
218,995,1.0000,Match
219,996,1.0000,Match
220,997,1.0000,Match
221,998,1.0000,Match
222,999,1.0000,Match
223,1000,1.0000,Match
224,1001,1.0000,Match
225,1002,1.0000,Match
226,1003,1.0000,Match
227,1004,1.0000,Match
228,1005,1.0000,Match
229,1006,1.0000,Match
230,1007,1.0000,Match
231,1008,1.0000,Match
232,1009,1.0000,Match
233,1010,1.0000,Match
234,1011,1.0000,Match
235,1012,1.0000,Match
236,1013,1.0000,Match
237,1014,1.0000,Match
238,1015,1.0000,Match
239,1016,1.0000,Match
240,1017,1.0000,Match
241,1018,1.0000,Match
242,1019,1.0000,Match
243,1020,1.0000,Match
244,1021,1.0000,Match
245,1022,1.0000,Match
246,1023,1.0000,Match
247,1024,1.0000,Match
248,1025,1.0000,Match
249,1026,1.0000,Match
250,1027,1.0000,Match
251,1028,1.0000,Match
252,1029,1.0000,Match
253,1030,1.0000,Match
254,1031,1.0000,Match
255,1032,1.0000,Match
256,1033,1.0000,Match
257,1034,1.0000,Match
258,1035,1.0000,Match
259,1036,1.0000,Match
260,1037,1.0000,Match
261,1038,1.0000,Match
262,1039,1.0000,Match
263,1040,1.0000,Match
264,1041,1.0000,Match
265,1042,1.0000,Match
266,1043,1.0000,Match
267,1044,1.0000,Match
268,1045,1.0000,Match
269,1046,1.0000,Match
270,1047,1.0000,Match
271,1048,1.0000,Match
272,1049,1.0000,Match
273,1050,1.0000,Match
274,1051,1.0000,Match
275,1052,1.0000,Match
276,1053,1.0000,Match
277,1054,1.0000,Match
278,1055,1.0000,Match
279,1056,1.0000,Match
282,1059,1.0000,Match
283,1060,1.0000,Match
286,1063,1.0000,Match
287,1064,1.0000,Match
288,1065,1.0000,Match
289,1066,1.0000,Match
290,1067,1.0000,Match
291,1068,1.0000,Match
292,1069,1.0000,Match
293,1070,1.0000,Match
294,1071,1.0000,Match
295,1072,1.0000,Match
296,1073,1.0000,Match
297,1074,1.0000,Match
298,1075,0.9733,Match
299,1076,0.9512,Match
300,1077,0.9579,Match
301,1078,0.8880,Match
302,1333,0.8479,Match
303,1079,0.7396,Match
304,1335,0.8524,Match
305,1359,0.8556,Match
306,1360,0.8121,Match
307,921,0.8711,Match
308,1155,0.8265,Match
309,1363,0.9168,Match
310,1364,0.9189,Match
311,1365,0.9048,Match
312,1366,0.9042,Match
313,1084,0.7731,Match
314,1085,0.8818,Match
315,1111,0.8818,Match
316,1089,0.8393,Match
317,1087,0.8435,Match
318,1103,0.9579,Match
319,1104,0.9733,Match
320,1105,0.9679,Match
321,1106,0.9836,Match
322,1107,1.0000,Match
323,1108,1.0000,Match
324,1109,1.0000,Match
325,1110,1.0000,Match
326,922,0.8458,Match
327,1112,0.9693,Match
328,1113,0.8996,Match
329,1188,0.9138,Match
330,1189,0.9608,Match
331,1190,0.9608,Match
332,1191,0.9756,Match
333,1192,0.9714,Match
334,1193,0.9381,Match
335,1194,0.9556,Match
336,1081,0.9087,Match
337,1082,0.5566,Match
338,1080,0.9892,Match
339,1086,0.9366,Match
340,1200,0.6486,Match
341,1083,1.0000,Match
342,1367,0.5711,Match
343,931,0.8291,Match
344,917,0.8424,Match
345,930,0.7721,Match
346,1248,0.9068,Match
347,1249,0.9162,Match
348,1334,0.8048,Match
349,1340,0.9404,Match
350,1341,0.9470,Match
351,1342,0.9730,Match
352,1343,0.9833,Match
353,1344,1.0000,Match
354,1345,1.0000,Match
355,1346,0.9568,Match
356,1347,0.9641,Match
357,1348,0.9792,Match
358,1349,1.0000,Match
359,1353,0.9220,Match
360,1350,0.9589,Match
361,1351,0.9687,Match
362,1352,0.9508,Match
363,1354,0.9220,Match
364,1355,0.8812,Match
365,529,0.7516,Match
366,1370,0.8079,Match
367,1371,0.8901,Match
368,1372,0.9168,Match
369,1373,0.9561,Match
370,1374,0.9778,Match
371,1375,1.0000,Match
372,1376,1.0000,Match
373,1377,1.0000,Match
374,1378,0.9015,Match
375,314,0.9207,Match
376,313,0.9437,Match
377,1303,0.9015,Match
378,1300,0.5182,Match
379,315,0.9324,Match
380,1210,0.8824,Match
381,1246,0.8802,Match
382,1327,0.5151,Match
383,1328,0.9695,Match
384,1329,0.9623,Match
385,1326,0.9778,Match
386,1331,0.9024,Match
387,1324,1.0000,Match
388,1325,1.0000,Match
389,1322,0.9464,Match
390,1323,0.9536,Match
391,1306,0.9387,Match
392,1307,0.9242,Match
393,1308,0.9461,Match
394,1305,0.5094,Match
395,1332,0.9266,Match
396,1311,0.8683,Match
397,1330,0.9630,Match
398,1309,0.4153,Match
399,372,0.9000,Match
400,318,0.8491,Match
401,1250,0.8214,Match
402,1211,0.4296,Match
403,1302,0.9079,Match
404,1245,0.8375,Match
405,1304,0.9257,Match
407,371,0.8801,Match
408,1321,0.8348,Match
409,1312,0.6915,Match
411,1310,0.8419,Match
412,1213,0.7865,Match
413,1090,0.4797,Match
417,978,0.8133,Match
418,1254,0.8551,Match
419,1403,0.7457,Match
420,1251,0.8667,Match
421,1252,0.8322,Match
422,1339,0.8494,Match
423,1337,0.4403,Match
425,1152,0.7884,Match
427,1253,0.8483,Match
428,1258,0.8167,Match
429,1255,0.8297,Match
