Old Line,New Line,Score,Type
39,39,0.7325,Match
40,40,0.9130,Match
41,41,0.9119,Match
42,42,0.7492,Match
43,50,0.8848,Match
44,51,0.6675,Match
45,52,0.8354,Match
46,59,0.8603,Match
47,60,0.4335,Match
53,56,0.9172,Match
54,57,0.4652,Match
55,58,0.7232,Match
70,67,0.9802,Match
93,94,0.7043,Match
94,90,0.7427,Match
95,91,0.6335,Match
96,98,0.5730,Match
97,110,0.4674,Match
98,111,0.5909,Match
99,103,0.6920,Match
101,105,0.7208,Match
102,106,0.7710,Match
103,118,0.7584,Match
104,120,0.5288,Match
105,113,0.7011,Match
107,115,0.7138,Match
108,116,0.7527,Match
109,108,0.7465,Match
110,119,0.7667,Match
112,345,0.8000,Match
116,136,0.9412,Match
131,152,0.8536,Match
148,"170,171",0.4230,Split
149,173,0.8537,Match
170,334,0.8631,Match
171,263,0.6132,Match
172,335,0.5780,Match
173,337,0.7041,Match
174,346,0.7684,Match
176,342,0.4751,Match
177,343,0.6961,Match
178,197,0.9399,Match
202,223,0.4199,Match
203,224,0.7698,Match
205,196,0.4718,Match
206,309,0.8223,Match
251,268,0.5340,Match
252,269,0.6172,Match
253,275,0.4823,Match
254,93,0.4659,Match
255,271,0.8424,Match
256,308,0.4941,Match
257,279,0.8186,Match
258,322,0.8003,Match
259,244,0.9515,Match
260,245,0.9888,Match
261,246,0.9983,Match
262,247,0.9984,Match
263,248,1.0000,Match
264,249,1.0000,Match
265,250,1.0000,Match
266,251,1.0000,Match
267,252,1.0000,Match
268,253,1.0000,Match
269,254,1.0000,Match
270,255,1.0000,Match
271,256,1.0000,Match
272,257,1.0000,Match
273,258,0.9709,Match
274,259,0.9434,Match
275,260,0.8568,Match
276,261,0.7907,Match
277,278,0.7006,Match
288,321,0.9191,Match
289,135,0.7148,Match
301,274,0.7397,Match
302,344,0.7161,Match
