Old Line,New Line,Score,Type
5,10,0.6022,Match
32,33,0.7175,Match
46,46,0.5371,Match
50,49,0.6570,Match
61,59,0.8917,Match
65,73,0.4466,Match
68,62,0.5449,Match
69,63,0.6938,Match
70,79,0.5242,Match
71,80,0.6277,Match
72,82,0.7513,Match
73,65,0.5079,Match
76,71,0.5376,Match
77,89,0.8243,Match
78,88,0.8299,Match
81,85,0.5881,Match
82,70,0.7852,Match
83,83,0.4863,Match
84,81,0.4726,Match
88,84,0.4380,Match
92,86,0.8880,Match
93,90,0.4482,Match
94,87,0.4115,Match
96,64,0.4898,Match
