Old Line,New Line,Score,Type
22,30,0.4820,Match
37,46,0.7510,Match
39,53,0.4355,Match
43,128,0.9200,Match
45,130,0.9103,Match
47,157,0.7555,Match
48,158,0.7616,Match
50,55,0.6942,Match
52,56,0.7931,Match
53,59,0.4127,Match
54,57,0.6828,Match
59,62,0.6107,Match
60,61,0.5837,Match
61,63,0.7594,Match
62,64,0.5432,Match
63,65,0.5074,Match
66,25,0.4429,Match
69,23,0.6891,Match
70,90,0.5911,Match
72,91,0.5793,Match
75,132,0.7260,Match
77,134,0.7035,Match
78,135,0.9200,Match
79,136,0.7842,Match
80,137,0.8667,Match
81,138,0.7364,Match
82,139,0.9077,Match
83,140,0.7713,Match
84,141,0.8671,Match
85,142,0.8462,Match
86,143,0.8524,Match
87,144,0.8149,Match
88,76,0.4602,Match
89,145,0.4963,Match
90,146,0.5032,Match
91,148,0.5581,Match
92,147,0.6615,Match
93,151,0.6971,Match
94,149,0.9385,Match
96,153,0.8313,Match
97,152,1.0000,Match
98,154,0.6304,Match
99,160,0.4354,Match
100,155,0.7307,Match
101,159,0.9742,Match
102,161,0.4882,Match
103,162,0.6046,Match
104,166,0.4197,Match
105,163,0.9731,Match
106,164,0.9766,Match
107,165,0.9726,Match
109,167,0.9407,Match
110,168,0.9200,Match
111,169,0.8754,Match
112,170,0.8105,Match
129,120,0.7979,Match
130,78,0.7102,Match
132,74,0.7125,Match
139,171,0.7905,Match
145,22,0.7650,Match
