Old Line,New Line,Score,Type
8,823,0.6778,Match
18,17,0.8827,Match
30,809,0.6704,Match
31,732,0.4039,Match
36,38,0.7260,Match
37,663,0.4093,Match
39,40,0.4511,Match
40,843,0.4079,Match
41,664,0.4637,Match
42,847,0.8296,Match
43,888,0.4279,Match
44,755,0.4150,Match
45,792,0.4187,Match
46,911,0.8596,Match
48,661,0.4188,Match
49,974,0.8506,Match
50,659,0.4540,Match
51,846,0.5054,Match
52,844,0.8049,Match
53,912,0.5432,Match
54,890,0.4881,Match
56,1002,0.4078,Match
57,845,0.8036,Match
60,1340,0.8008,Match
63,975,0.8145,Match
65,745,0.8240,Match
66,667,0.7890,Match
67,970,0.4511,Match
69,771,0.7257,Match
70,906,0.4879,Match
74,908,0.7739,Match
75,921,0.4247,Match
76,791,0.8055,Match
77,925,0.7907,Match
79,675,0.5092,Match
80,756,0.4574,Match
81,757,0.8313,Match
82,910,0.7716,Match
83,658,0.7741,Match
93,39,0.9733,Match
126,72,0.8569,Match
213,159,0.7045,Match
214,160,0.7323,Match
215,161,0.5165,Match
216,840,0.4498,Match
217,162,0.4813,Match
218,163,0.5555,Match
363,991,0.8495,Match
364,992,0.8918,Match
365,993,0.9683,Match
366,994,1.0000,Match
367,995,0.9822,Match
368,996,0.9849,Match
369,997,0.9846,Match
370,998,0.9849,Match
371,999,0.7390,Match
372,1000,0.9538,Match
373,1001,0.9390,Match
374,1039,0.4105,Match
375,1003,0.8496,Match
378,662,0.8324,Match
379,976,0.8521,Match
380,977,0.8874,Match
381,978,0.8773,Match
382,979,0.6641,Match
384,981,0.7797,Match
385,982,0.4357,Match
386,983,0.4976,Match
388,985,0.4654,Match
389,986,0.8031,Match
390,987,0.8615,Match
391,973,0.8773,Match
392,989,0.8366,Match
393,907,0.8435,Match
394,855,0.6847,Match
395,856,0.8307,Match
396,857,0.8282,Match
397,858,0.8202,Match
398,870,0.7860,Match
400,869,0.7392,Match
401,898,0.8110,Match
402,899,0.4291,Match
403,872,0.4208,Match
404,811,0.5442,Match
405,815,0.5096,Match
406,812,0.7123,Match
407,876,0.5525,Match
408,885,0.4353,Match
409,816,0.4364,Match
411,880,0.7728,Match
412,881,0.7781,Match
413,882,0.8499,Match
414,883,0.5493,Match
415,884,0.4351,Match
416,949,0.4773,Match
417,1325,0.6921,Match
418,808,0.4208,Match
419,887,0.4484,Match
420,1328,0.4011,Match
422,842,0.7651,Match
423,866,0.8066,Match
424,867,0.8146,Match
425,957,0.4293,Match
426,900,0.6485,Match
427,862,0.4714,Match
428,903,0.7476,Match
430,950,0.4151,Match
431,956,0.7870,Match
432,830,0.4284,Match
433,694,0.5195,Match
435,896,0.4147,Match
437,877,0.4002,Match
438,834,0.4133,Match
439,892,0.7896,Match
441,951,0.7747,Match
442,838,0.4698,Match
443,695,0.4604,Match
445,886,0.6249,Match
446,889,0.4329,Match
448,814,0.5739,Match
449,692,0.4635,Match
450,891,0.4686,Match
452,971,0.7856,Match
454,924,0.7932,Match
455,967,0.5794,Match
456,681,0.4658,Match
457,909,0.4110,Match
458,972,0.8550,Match
459,988,0.7803,Match
460,760,0.7674,Match
547,1014,0.9152,Match
548,1015,0.9439,Match
549,1016,0.9658,Match
550,1017,0.9827,Match
551,1018,1.0000,Match
552,1019,1.0000,Match
553,1020,1.0000,Match
554,1021,1.0000,Match
555,1022,1.0000,Match
556,1023,1.0000,Match
557,1024,1.0000,Match
558,1025,1.0000,Match
559,1026,1.0000,Match
560,1027,1.0000,Match
561,1028,1.0000,Match
562,1029,1.0000,Match
563,1030,1.0000,Match
564,1031,1.0000,Match
565,1032,1.0000,Match
566,1033,1.0000,Match
567,1034,1.0000,Match
568,1035,1.0000,Match
569,1036,1.0000,Match
570,1037,1.0000,Match
571,1038,1.0000,Match
572,743,0.6702,Match
573,1040,0.9412,Match
574,1041,0.9113,Match
575,1042,0.8639,Match
718,538,0.9792,Match
723,543,0.9020,Match
730,778,0.7915,Match
731,779,0.7103,Match
732,777,0.8688,Match
733,918,0.7165,Match
734,922,0.4247,Match
735,615,0.6039,Match
736,552,0.6085,Match
737,713,0.7535,Match
